,complexity,length_of_chunk,stdARI,stdCLI,stdFKGL,stdFog,stdGFI,stdSMOG,varianceARI,varianceCLI,varianceFKGL,varianceFog,varianceGFI,varianceSMOG
0,3,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,150,0.3542999999999985,0.3542999999999985,0.3542999999999985,0.3542999999999985,0.3542999999999985,0.3542999999999985,0.12552848999999894,0.12552848999999894,0.12552848999999894,0.12552848999999894,0.12552848999999894,0.12552848999999894
4,3,100,1.4626049113368473,1.4626049113368473,1.4626049113368473,1.4626049113368473,1.4626049113368473,1.4626049113368473,2.1392131266666667,2.1392131266666667,2.1392131266666667,2.1392131266666667,2.1392131266666667,2.1392131266666667
5,3,75,1.1306873603587335,1.1306873603587335,1.1306873603587335,1.1306873603587335,1.1306873603587335,1.1306873603587335,1.2784539068750005,1.2784539068750005,1.2784539068750005,1.2784539068750005,1.2784539068750005,1.2784539068750005
6,3,50,1.6672720901220652,1.6672720901220652,1.6672720901220652,1.6672720901220652,1.6672720901220652,1.6672720901220652,2.7797962225,2.7797962225,2.7797962225,2.7797962225,2.7797962225,2.7797962225
7,3,40,2.0115689370721928,2.0115689370721928,2.0115689370721928,2.0115689370721928,2.0115689370721928,2.0115689370721928,4.046409588593751,4.046409588593751,4.046409588593751,4.046409588593751,4.046409588593751,4.046409588593751
8,3,30,1.8534187268017723,1.8534187268017723,1.8534187268017723,1.8534187268017723,1.8534187268017723,1.8534187268017723,3.4351609768595024,3.4351609768595024,3.4351609768595024,3.4351609768595024,3.4351609768595024,3.4351609768595024
9,3,20,2.041380927681826,2.041380927681826,2.041380927681826,2.041380927681826,2.041380927681826,2.041380927681826,4.1672360919031135,4.1672360919031135,4.1672360919031135,4.1672360919031135,4.1672360919031135,4.1672360919031135
10,3,10,2.615788122722438,2.615788122722438,2.615788122722438,2.615788122722438,2.615788122722438,2.615788122722438,6.842347502975778,6.842347502975778,6.842347502975778,6.842347502975778,6.842347502975778,6.842347502975778
11,3,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3,750,1.5626000000000007,1.5626000000000007,1.5626000000000007,1.5626000000000007,1.5626000000000007,1.5626000000000007,2.4417187600000023,2.4417187600000023,2.4417187600000023,2.4417187600000023,2.4417187600000023,2.4417187600000023
13,3,500,1.8128293705328877,1.8128293705328877,1.8128293705328877,1.8128293705328877,1.8128293705328877,1.8128293705328877,3.286350326666666,3.286350326666666,3.286350326666666,3.286350326666666,3.286350326666666,3.286350326666666
14,3,450,1.9456553728756794,1.9456553728756794,1.9456553728756794,1.9456553728756794,1.9456553728756794,1.9456553728756794,3.7855748299999985,3.7855748299999985,3.7855748299999985,3.7855748299999985,3.7855748299999985,3.7855748299999985
15,3,400,2.0619347714889034,2.0619347714889034,2.0619347714889034,2.0619347714889034,2.0619347714889034,2.0619347714889034,4.251575001874997,4.251575001874997,4.251575001874997,4.251575001874997,4.251575001874997,4.251575001874997
16,3,350,2.005799322963292,2.005799322963292,2.005799322963292,2.005799322963292,2.005799322963292,2.005799322963292,4.023230924000002,4.023230924000002,4.023230924000002,4.023230924000002,4.023230924000002,4.023230924000002
17,3,300,2.045212572488901,2.045212572488901,2.045212572488901,2.045212572488901,2.045212572488901,2.045212572488901,4.182894466666667,4.182894466666667,4.182894466666667,4.182894466666667,4.182894466666667,4.182894466666667
18,3,250,2.022349877781603,2.022349877781603,2.022349877781603,2.022349877781603,2.022349877781603,2.022349877781603,4.0898990281632654,4.0898990281632654,4.0898990281632654,4.0898990281632654,4.0898990281632654,4.0898990281632654
19,3,200,2.0800946959094477,2.0800946959094477,2.0800946959094477,2.0800946959094477,2.0800946959094477,2.0800946959094477,4.326793943950618,4.326793943950618,4.326793943950618,4.326793943950618,4.326793943950618,4.326793943950618
20,3,150,2.085612409794516,2.085612409794516,2.085612409794516,2.085612409794516,2.085612409794516,2.085612409794516,4.349779123888887,4.349779123888887,4.349779123888887,4.349779123888887,4.349779123888887,4.349779123888887
21,3,100,2.1540348519031203,2.1540348519031203,2.1540348519031203,2.1540348519031203,2.1540348519031203,2.1540348519031203,4.639866143213297,4.639866143213297,4.639866143213297,4.639866143213297,4.639866143213297,4.639866143213297
22,3,75,2.1562632883170827,2.1562632883170827,2.1562632883170827,2.1562632883170827,2.1562632883170827,2.1562632883170827,4.649471368543999,4.649471368543999,4.649471368543999,4.649471368543999,4.649471368543999,4.649471368543999
23,3,50,2.2560042597370074,2.2560042597370074,2.2560042597370074,2.2560042597370074,2.2560042597370074,2.2560042597370074,5.0895552199515235,5.0895552199515235,5.0895552199515235,5.0895552199515235,5.0895552199515235,5.0895552199515235
24,3,40,2.272355486236472,2.272355486236472,2.272355486236472,2.272355486236472,2.272355486236472,2.272355486236472,5.163599455828993,5.163599455828993,5.163599455828993,5.163599455828993,5.163599455828993,5.163599455828993
25,3,30,2.413710469994068,2.413710469994068,2.413710469994068,2.413710469994068,2.413710469994068,2.413710469994068,5.825998232958985,5.825998232958985,5.825998232958985,5.825998232958985,5.825998232958985,5.825998232958985
26,3,20,2.5032575075408063,2.5032575075408063,2.5032575075408063,2.5032575075408063,2.5032575075408063,2.5032575075408063,6.266298149059411,6.266298149059411,6.266298149059411,6.266298149059411,6.266298149059411,6.266298149059411
