,GFI,complexity,document,length_of_chunk,number_of_chunk
163,6.2333,5,L1/dew15_2007_09.txt,12,1
164,7.0333,5,L1/dew15_2007_09.txt,12,2
165,5.04,5,L1/dew15_2007_09.txt,10,1
166,7.64,5,L1/dew15_2007_09.txt,10,2
167,8.16,5,L1/dew15_2007_09.txt,10,3
168,8.6732,3,L1/dew23_2007_09.txt,22,1
185,8.8425,3,L1/dew23_2007_09.txt,20,1
186,8.8886,3,L1/dew23_2007_09.txt,18,1
187,9.0228,3,L1/dew23_2007_09.txt,16,1
188,9.1424,3,L1/dew23_2007_09.txt,14,1
189,9.261,3,L1/dew23_2007_09.txt,12,1
190,8.8501,3,L1/dew23_2007_09.txt,10,1
191,8.9,3,L1/dew23_2007_09.txt,10,2
192,7.5921,4,L1/dew23_2007_09.txt,22,1
209,7.7929,4,L1/dew23_2007_09.txt,20,1
210,7.9969,4,L1/dew23_2007_09.txt,18,1
211,7.9972,4,L1/dew23_2007_09.txt,16,1
212,8.1668,4,L1/dew23_2007_09.txt,14,1
213,8.155,4,L1/dew23_2007_09.txt,12,1
214,8.1943,4,L1/dew23_2007_09.txt,10,1
215,7.4,4,L1/dew23_2007_09.txt,10,2
216,6.7273,5,L1/dew23_2007_09.txt,22,1
233,6.86,5,L1/dew23_2007_09.txt,20,1
234,6.9778,5,L1/dew23_2007_09.txt,18,1
235,6.825,5,L1/dew23_2007_09.txt,16,1
236,7.0286,5,L1/dew23_2007_09.txt,14,1
237,7.2333,5,L1/dew23_2007_09.txt,12,1
238,7.32,5,L1/dew23_2007_09.txt,10,1
239,6.4,5,L1/dew23_2007_09.txt,10,2
240,15.8963,3,L1/fu079d_2007_10.txt,18,1
259,15.2797,3,L1/fu079d_2007_10.txt,16,1
260,14.5904,3,L1/fu079d_2007_10.txt,14,1
261,15.1839,3,L1/fu079d_2007_10.txt,12,1
262,14.4882,3,L1/fu079d_2007_10.txt,10,1
263,12.4704,4,L1/fu079d_2007_10.txt,18,1
282,12.2191,4,L1/fu079d_2007_10.txt,16,1
283,11.5229,4,L1/fu079d_2007_10.txt,14,1
284,12.0115,4,L1/fu079d_2007_10.txt,12,1
285,11.4113,4,L1/fu079d_2007_10.txt,10,1
286,11.0815,5,L1/fu079d_2007_10.txt,18,1
305,10.9526,5,L1/fu079d_2007_10.txt,16,1
306,10.4186,5,L1/fu079d_2007_10.txt,14,1
307,10.7701,5,L1/fu079d_2007_10.txt,12,1
308,10.2147,5,L1/fu079d_2007_10.txt,10,1
309,10.4912,3,L1/dew11_2007_09.txt,33,1
321,10.323,3,L1/dew11_2007_09.txt,30,1
322,10.2922,3,L1/dew11_2007_09.txt,28,1
323,10.4491,3,L1/dew11_2007_09.txt,26,1
324,10.4384,3,L1/dew11_2007_09.txt,24,1
325,10.5109,3,L1/dew11_2007_09.txt,22,1
326,10.699,3,L1/dew11_2007_09.txt,20,1
327,10.8057,3,L1/dew11_2007_09.txt,18,1
328,10.924,3,L1/dew11_2007_09.txt,16,1
329,9.9295,3,L1/dew11_2007_09.txt,16,2
330,10.3659,3,L1/dew11_2007_09.txt,14,1
331,10.3271,3,L1/dew11_2007_09.txt,14,2
332,10.4623,3,L1/dew11_2007_09.txt,12,1
333,10.4978,3,L1/dew11_2007_09.txt,12,2
334,10.1714,3,L1/dew11_2007_09.txt,10,1
335,11.3303,3,L1/dew11_2007_09.txt,10,2
336,9.6002,3,L1/dew11_2007_09.txt,10,3
337,7.4088,4,L1/dew11_2007_09.txt,33,1
349,7.3391,4,L1/dew11_2007_09.txt,30,1
350,7.3163,4,L1/dew11_2007_09.txt,28,1
351,7.4929,4,L1/dew11_2007_09.txt,26,1
352,7.5091,4,L1/dew11_2007_09.txt,24,1
353,7.356,4,L1/dew11_2007_09.txt,22,1
354,7.3963,4,L1/dew11_2007_09.txt,20,1
355,7.2596,4,L1/dew11_2007_09.txt,18,1
356,7.473,4,L1/dew11_2007_09.txt,16,1
357,7.1659,4,L1/dew11_2007_09.txt,16,2
358,7.0967,4,L1/dew11_2007_09.txt,14,1
359,7.5962,4,L1/dew11_2007_09.txt,14,2
360,7.1656,4,L1/dew11_2007_09.txt,12,1
361,7.881,4,L1/dew11_2007_09.txt,12,2
362,6.7429,4,L1/dew11_2007_09.txt,10,1
363,8.1217,4,L1/dew11_2007_09.txt,10,2
364,7.2334,4,L1/dew11_2007_09.txt,10,3
365,6.907,5,L1/dew11_2007_09.txt,33,1
377,6.7746,5,L1/dew11_2007_09.txt,30,1
378,6.7036,5,L1/dew11_2007_09.txt,28,1
379,6.8463,5,L1/dew11_2007_09.txt,26,1
380,6.802,5,L1/dew11_2007_09.txt,24,1
381,6.6799,5,L1/dew11_2007_09.txt,22,1
382,6.7846,5,L1/dew11_2007_09.txt,20,1
383,6.5504,5,L1/dew11_2007_09.txt,18,1
384,6.6887,5,L1/dew11_2007_09.txt,16,1
385,6.875,5,L1/dew11_2007_09.txt,16,2
386,6.3275,5,L1/dew11_2007_09.txt,14,1
387,7.1143,5,L1/dew11_2007_09.txt,14,2
388,6.5062,5,L1/dew11_2007_09.txt,12,1
389,7.1333,5,L1/dew11_2007_09.txt,12,2
390,5.8857,5,L1/dew11_2007_09.txt,10,1
391,7.6939,5,L1/dew11_2007_09.txt,10,2
392,6.76,5,L1/dew11_2007_09.txt,10,3
393,7.4797,3,L1/dhw038_2007_06.txt,38,1
404,7.2762,3,L1/dhw038_2007_06.txt,35,1
405,7.4905,3,L1/dhw038_2007_06.txt,30,1
406,7.3398,3,L1/dhw038_2007_06.txt,28,1
407,7.1103,3,L1/dhw038_2007_06.txt,26,1
408,6.9088,3,L1/dhw038_2007_06.txt,24,1
409,6.7697,3,L1/dhw038_2007_06.txt,22,1
410,6.9128,3,L1/dhw038_2007_06.txt,20,1
411,7.2074,3,L1/dhw038_2007_06.txt,18,1
412,7.4179,3,L1/dhw038_2007_06.txt,18,2
413,7.1585,3,L1/dhw038_2007_06.txt,16,1
414,7.4371,3,L1/dhw038_2007_06.txt,16,2
415,7.2399,3,L1/dhw038_2007_06.txt,14,1
416,7.4753,3,L1/dhw038_2007_06.txt,14,2
417,6.9301,3,L1/dhw038_2007_06.txt,12,1
418,6.8876,3,L1/dhw038_2007_06.txt,12,2
419,8.0515,3,L1/dhw038_2007_06.txt,12,3
420,7.0732,3,L1/dhw038_2007_06.txt,10,1
421,6.7539,3,L1/dhw038_2007_06.txt,10,2
422,8.7405,3,L1/dhw038_2007_06.txt,10,3
423,6.4581,4,L1/dhw038_2007_06.txt,38,1
434,6.2984,4,L1/dhw038_2007_06.txt,35,1
435,6.7043,4,L1/dhw038_2007_06.txt,30,1
436,6.4749,4,L1/dhw038_2007_06.txt,28,1
437,6.254,4,L1/dhw038_2007_06.txt,26,1
438,6.1193,4,L1/dhw038_2007_06.txt,24,1
439,6.0121,4,L1/dhw038_2007_06.txt,22,1
440,6.0617,4,L1/dhw038_2007_06.txt,20,1
441,6.2815,4,L1/dhw038_2007_06.txt,18,1
442,6.2797,4,L1/dhw038_2007_06.txt,18,2
443,6.1433,4,L1/dhw038_2007_06.txt,16,1
444,6.9085,4,L1/dhw038_2007_06.txt,16,2
445,6.0771,4,L1/dhw038_2007_06.txt,14,1
446,6.8693,4,L1/dhw038_2007_06.txt,14,2
447,6.1458,4,L1/dhw038_2007_06.txt,12,1
448,6.0929,4,L1/dhw038_2007_06.txt,12,2
449,6.5325,4,L1/dhw038_2007_06.txt,12,3
450,6.0475,4,L1/dhw038_2007_06.txt,10,1
451,6.0759,4,L1/dhw038_2007_06.txt,10,2
452,8.0428,4,L1/dhw038_2007_06.txt,10,3
453,5.5151,5,L1/dhw038_2007_06.txt,38,1
464,5.3206,5,L1/dhw038_2007_06.txt,35,1
465,5.6232,5,L1/dhw038_2007_06.txt,30,1
466,5.3938,5,L1/dhw038_2007_06.txt,28,1
467,5.1531,5,L1/dhw038_2007_06.txt,26,1
468,5.0667,5,L1/dhw038_2007_06.txt,24,1
469,4.8,5,L1/dhw038_2007_06.txt,22,1
470,4.7,5,L1/dhw038_2007_06.txt,20,1
471,4.8,5,L1/dhw038_2007_06.txt,18,1
472,5.7919,5,L1/dhw038_2007_06.txt,18,2
473,4.925,5,L1/dhw038_2007_06.txt,16,1
474,6.0274,5,L1/dhw038_2007_06.txt,16,2
475,4.9143,5,L1/dhw038_2007_06.txt,14,1
476,5.8592,5,L1/dhw038_2007_06.txt,14,2
477,5.1,5,L1/dhw038_2007_06.txt,12,1
478,5.0333,5,L1/dhw038_2007_06.txt,12,2
479,5.773,5,L1/dhw038_2007_06.txt,12,3
480,4.68,5,L1/dhw038_2007_06.txt,10,1
481,4.72,5,L1/dhw038_2007_06.txt,10,2
482,7.3451,5,L1/dhw038_2007_06.txt,10,3
483,8.5503,3,L1/dew02_2007_09.txt,34,1
495,8.4977,3,L1/dew02_2007_09.txt,30,1
496,8.5455,3,L1/dew02_2007_09.txt,28,1
497,8.7813,3,L1/dew02_2007_09.txt,26,1
498,9.139,3,L1/dew02_2007_09.txt,24,1
499,9.3082,3,L1/dew02_2007_09.txt,22,1
500,9.0382,3,L1/dew02_2007_09.txt,20,1
501,9.2026,3,L1/dew02_2007_09.txt,18,1
502,9.3787,3,L1/dew02_2007_09.txt,16,1
503,7.7473,3,L1/dew02_2007_09.txt,16,2
504,9.7593,3,L1/dew02_2007_09.txt,14,1
505,7.3143,3,L1/dew02_2007_09.txt,14,2
506,9.8286,3,L1/dew02_2007_09.txt,12,1
507,8.5863,3,L1/dew02_2007_09.txt,12,2
508,9.7091,3,L1/dew02_2007_09.txt,10,1
509,8.8156,3,L1/dew02_2007_09.txt,10,2
510,7.3645,3,L1/dew02_2007_09.txt,10,3
511,7.0537,4,L1/dew02_2007_09.txt,34,1
523,7.022,4,L1/dew02_2007_09.txt,30,1
524,7.0517,4,L1/dew02_2007_09.txt,28,1
525,7.2058,4,L1/dew02_2007_09.txt,26,1
526,7.4989,4,L1/dew02_2007_09.txt,24,1
527,7.6497,4,L1/dew02_2007_09.txt,22,1
528,7.3899,4,L1/dew02_2007_09.txt,20,1
529,7.6732,4,L1/dew02_2007_09.txt,18,1
530,7.9774,4,L1/dew02_2007_09.txt,16,1
531,6.0452,4,L1/dew02_2007_09.txt,16,2
532,8.199,4,L1/dew02_2007_09.txt,14,1
533,5.9143,4,L1/dew02_2007_09.txt,14,2
534,8.4,4,L1/dew02_2007_09.txt,12,1
535,6.6611,4,L1/dew02_2007_09.txt,12,2
536,8.8,4,L1/dew02_2007_09.txt,10,1
537,6.0378,4,L1/dew02_2007_09.txt,10,2
538,6.3049,4,L1/dew02_2007_09.txt,10,3
539,6.9176,5,L1/dew02_2007_09.txt,34,1
551,6.8667,5,L1/dew02_2007_09.txt,30,1
552,6.8857,5,L1/dew02_2007_09.txt,28,1
553,7.0308,5,L1/dew02_2007_09.txt,26,1
554,7.3167,5,L1/dew02_2007_09.txt,24,1
555,7.4545,5,L1/dew02_2007_09.txt,22,1
556,7.28,5,L1/dew02_2007_09.txt,20,1
557,7.5556,5,L1/dew02_2007_09.txt,18,1
558,7.85,5,L1/dew02_2007_09.txt,16,1
559,5.875,5,L1/dew02_2007_09.txt,16,2
560,8.0571,5,L1/dew02_2007_09.txt,14,1
561,5.7143,5,L1/dew02_2007_09.txt,14,2
562,8.4,5,L1/dew02_2007_09.txt,12,1
563,6.2333,5,L1/dew02_2007_09.txt,12,2
564,8.8,5,L1/dew02_2007_09.txt,10,1
565,5.76,5,L1/dew02_2007_09.txt,10,2
566,6.04,5,L1/dew02_2007_09.txt,10,3
567,12.2331,3,L1/dcs011_2007_10.txt,21,1
584,12.4061,3,L1/dcs011_2007_10.txt,20,1
585,12.3594,3,L1/dcs011_2007_10.txt,18,1
586,12.3808,3,L1/dcs011_2007_10.txt,16,1
587,11.7894,3,L1/dcs011_2007_10.txt,14,1
588,12.5206,3,L1/dcs011_2007_10.txt,12,1
589,10.9462,3,L1/dcs011_2007_10.txt,10,1
590,14.0055,3,L1/dcs011_2007_10.txt,10,2
591,9.6869,4,L1/dcs011_2007_10.txt,21,1
608,9.8637,4,L1/dcs011_2007_10.txt,20,1
609,9.641,4,L1/dcs011_2007_10.txt,18,1
610,9.5158,4,L1/dcs011_2007_10.txt,16,1
611,9.1316,4,L1/dcs011_2007_10.txt,14,1
612,9.9674,4,L1/dcs011_2007_10.txt,12,1
613,7.9833,4,L1/dcs011_2007_10.txt,10,1
614,11.744,4,L1/dcs011_2007_10.txt,10,2
615,9.2762,5,L1/dcs011_2007_10.txt,21,1
632,9.44,5,L1/dcs011_2007_10.txt,20,1
633,9.1556,5,L1/dcs011_2007_10.txt,18,1
634,9.075,5,L1/dcs011_2007_10.txt,16,1
635,8.6,5,L1/dcs011_2007_10.txt,14,1
636,9.4,5,L1/dcs011_2007_10.txt,12,1
637,7.56,5,L1/dcs011_2007_10.txt,10,1
638,11.32,5,L1/dcs011_2007_10.txt,10,2
639,12.165,3,L1/dhw021_2007_06.txt,37,1
650,12.1596,3,L1/dhw021_2007_06.txt,35,1
651,12.4406,3,L1/dhw021_2007_06.txt,30,1
652,12.5108,3,L1/dhw021_2007_06.txt,28,1
653,12.6776,3,L1/dhw021_2007_06.txt,26,1
654,12.3569,3,L1/dhw021_2007_06.txt,24,1
655,12.756,3,L1/dhw021_2007_06.txt,22,1
656,12.5222,3,L1/dhw021_2007_06.txt,20,1
657,12.725,3,L1/dhw021_2007_06.txt,18,1
658,11.7385,3,L1/dhw021_2007_06.txt,18,2
659,12.6131,3,L1/dhw021_2007_06.txt,16,1
660,11.6,3,L1/dhw021_2007_06.txt,16,2
661,13.218,3,L1/dhw021_2007_06.txt,14,1
662,11.7819,3,L1/dhw021_2007_06.txt,14,2
663,13.676,3,L1/dhw021_2007_06.txt,12,1
664,11.0229,3,L1/dhw021_2007_06.txt,12,2
665,12.0126,3,L1/dhw021_2007_06.txt,12,3
666,14.5278,3,L1/dhw021_2007_06.txt,10,1
667,10.6,3,L1/dhw021_2007_06.txt,10,2
668,12.316,3,L1/dhw021_2007_06.txt,10,3
669,10.565,4,L1/dhw021_2007_06.txt,37,1
680,10.5525,4,L1/dhw021_2007_06.txt,35,1
681,10.6948,4,L1/dhw021_2007_06.txt,30,1
682,10.7573,4,L1/dhw021_2007_06.txt,28,1
683,10.9335,4,L1/dhw021_2007_06.txt,26,1
684,10.5922,4,L1/dhw021_2007_06.txt,24,1
685,11.0466,4,L1/dhw021_2007_06.txt,22,1
686,10.6324,4,L1/dhw021_2007_06.txt,20,1
687,10.9339,4,L1/dhw021_2007_06.txt,18,1
688,10.3532,4,L1/dhw021_2007_06.txt,18,2
689,10.7411,4,L1/dhw021_2007_06.txt,16,1
690,10.0,4,L1/dhw021_2007_06.txt,16,2
691,11.5426,4,L1/dhw021_2007_06.txt,14,1
