,complexity,length_of_chunk,std,variance
204,5,14,0.47565000000000035,0.22624292250000033
205,5,12,0.6507999999999998,0.4235406399999998
206,5,10,0.73305,0.5373623024999999
207,3,30,0.0,0.0
208,3,28,0.0,0.0
209,3,26,0.0,0.0
210,3,24,0.0,0.0
211,3,22,0.0,0.0
212,3,20,0.0,0.0
213,3,18,0.0,0.0
214,3,16,1.0711000000000004,1.1472552100000009
215,3,14,0.5965999999999996,0.3559315599999995
216,3,12,0.3789499999999997,0.14360310249999975
217,3,10,0.4104646229173305,0.1684812066666663
218,4,30,0.0,0.0
219,4,28,0.0,0.0
220,4,26,0.0,0.0
221,4,24,0.0,0.0
222,4,22,0.0,0.0
223,4,20,0.0,0.0
224,4,18,0.0,0.0
225,4,16,0.12179999999999946,0.01483523999999987
226,4,14,0.19090000000000007,0.03644281000000003
227,4,12,0.6890499999999999,0.4747899024999999
228,4,10,1.1833682389218028,1.400360388888889
229,5,30,0.0,0.0
230,5,28,0.0,0.0
231,5,26,0.0,0.0
232,5,24,0.0,0.0
233,5,22,0.0,0.0
234,5,20,0.0,0.0
235,5,18,0.0,0.0
236,5,16,0.15689999999999982,0.024617609999999943
237,5,14,0.1363000000000003,0.018577690000000084
238,5,12,0.30160000000000053,0.09096256000000032
239,5,10,0.9789575419234936,0.9583578688888886
240,3,18,0.0,0.0
241,3,16,0.0,0.0
242,3,14,0.0,0.0
243,3,12,0.0,0.0
244,3,10,0.0,0.0
245,4,18,0.0,0.0
246,4,16,0.0,0.0
247,4,14,0.0,0.0
248,4,12,0.0,0.0
249,4,10,0.0,0.0
250,5,18,0.0,0.0
251,5,16,0.0,0.0
252,5,14,0.0,0.0
253,5,12,0.0,0.0
254,5,10,0.0,0.0
255,3,20,0.0,0.0
256,3,18,0.0,0.0
257,3,16,0.0,0.0
258,3,14,0.0,0.0
259,3,12,0.0,0.0
260,3,10,1.0766999999999998,1.1592828899999996
261,4,20,0.0,0.0
262,4,18,0.0,0.0
263,4,16,0.0,0.0
264,4,14,0.0,0.0
265,4,12,0.0,0.0
266,4,10,0.6800999999999999,0.4625360099999999
267,5,20,0.0,0.0
268,5,18,0.0,0.0
269,5,16,0.0,0.0
270,5,14,0.0,0.0
271,5,12,0.0,0.0
272,5,10,0.3692500000000001,0.13634556250000004
273,3,12,0.0,0.0
274,3,10,0.0,0.0
275,4,12,0.0,0.0
276,4,10,0.0,0.0
277,5,12,0.0,0.0
278,5,10,0.0,0.0
279,3,14,0.0,0.0
280,3,12,0.0,0.0
281,3,10,0.0,0.0
282,4,14,0.0,0.0
283,4,12,0.0,0.0
284,4,10,0.0,0.0
285,5,14,0.0,0.0
286,5,12,0.0,0.0
287,5,10,0.0,0.0
288,3,10,0.0,0.0
289,4,10,0.0,0.0
290,5,10,0.0,0.0
291,3,26,0.0,0.0
