,GFI,complexity,document,length_of_chunk,number_of_chunk
0,19.1332,3,essays/122543380.txt,44,1
10,19.2646,3,essays/122543380.txt,40,1
11,19.1657,3,essays/122543380.txt,35,1
12,19.0095,3,essays/122543380.txt,30,1
13,18.9511,3,essays/122543380.txt,28,1
14,19.0433,3,essays/122543380.txt,26,1
15,19.3424,3,essays/122543380.txt,24,1
16,19.7639,3,essays/122543380.txt,22,1
17,18.4827,3,essays/122543380.txt,22,2
18,20.4979,3,essays/122543380.txt,20,1
19,17.9567,3,essays/122543380.txt,20,2
20,20.5241,3,essays/122543380.txt,18,1
21,18.2237,3,essays/122543380.txt,18,2
22,20.1624,3,essays/122543380.txt,16,1
23,17.7854,3,essays/122543380.txt,16,2
24,19.859,3,essays/122543380.txt,14,1
25,18.0159,3,essays/122543380.txt,14,2
26,19.3774,3,essays/122543380.txt,14,3
27,20.5371,3,essays/122543380.txt,12,1
28,18.0762,3,essays/122543380.txt,12,2
29,19.5474,3,essays/122543380.txt,12,3
30,20.6,3,essays/122543380.txt,10,1
31,20.4037,3,essays/122543380.txt,10,2
32,15.6381,3,essays/122543380.txt,10,3
33,20.0409,3,essays/122543380.txt,10,4
34,14.9778,4,essays/122543380.txt,44,1
44,15.089,4,essays/122543380.txt,40,1
45,15.1388,4,essays/122543380.txt,35,1
46,14.8328,4,essays/122543380.txt,30,1
47,14.8455,4,essays/122543380.txt,28,1
48,14.9075,4,essays/122543380.txt,26,1
49,15.1249,4,essays/122543380.txt,24,1
50,15.4681,4,essays/122543380.txt,22,1
51,14.4753,4,essays/122543380.txt,22,2
52,16.1031,4,essays/122543380.txt,20,1
53,14.0223,4,essays/122543380.txt,20,2
54,16.2064,4,essays/122543380.txt,18,1
55,14.2878,4,essays/122543380.txt,18,2
56,16.2083,4,essays/122543380.txt,16,1
57,13.5347,4,essays/122543380.txt,16,2
58,16.2623,4,essays/122543380.txt,14,1
59,13.3175,4,essays/122543380.txt,14,2
60,15.3668,4,essays/122543380.txt,14,3
61,16.7635,4,essays/122543380.txt,12,1
62,13.3704,4,essays/122543380.txt,12,2
63,15.5598,4,essays/122543380.txt,12,3
64,16.5273,4,essays/122543380.txt,10,1
65,15.6708,4,essays/122543380.txt,10,2
66,12.019,4,essays/122543380.txt,10,3
67,15.8682,4,essays/122543380.txt,10,4
68,11.4367,5,essays/122543380.txt,44,1
78,11.4988,5,essays/122543380.txt,40,1
79,11.4699,5,essays/122543380.txt,35,1
80,11.2987,5,essays/122543380.txt,30,1
81,11.2091,5,essays/122543380.txt,28,1
82,11.389,5,essays/122543380.txt,26,1
83,11.6323,5,essays/122543380.txt,24,1
84,11.8766,5,essays/122543380.txt,22,1
85,10.9874,5,essays/122543380.txt,22,2
86,12.3042,5,essays/122543380.txt,20,1
87,10.6616,5,essays/122543380.txt,20,2
88,12.459,5,essays/122543380.txt,18,1
89,10.6264,5,essays/122543380.txt,18,2
90,12.3463,5,essays/122543380.txt,16,1
91,10.3739,5,essays/122543380.txt,16,2
92,12.1206,5,essays/122543380.txt,14,1
93,10.2698,5,essays/122543380.txt,14,2
94,11.7784,5,essays/122543380.txt,14,3
95,12.361,5,essays/122543380.txt,12,1
96,10.879,5,essays/122543380.txt,12,2
97,11.4477,5,essays/122543380.txt,12,3
98,12.7455,5,essays/122543380.txt,10,1
99,11.854,5,essays/122543380.txt,10,2
100,9.1619,5,essays/122543380.txt,10,3
101,12.1272,5,essays/122543380.txt,10,4
102,14.4242,3,essays/122546705y.txt,43,1
112,14.5282,3,essays/122546705y.txt,40,1
113,14.7304,3,essays/122546705y.txt,35,1
114,15.3028,3,essays/122546705y.txt,30,1
115,15.2935,3,essays/122546705y.txt,28,1
116,15.594,3,essays/122546705y.txt,26,1
117,15.1815,3,essays/122546705y.txt,24,1
118,15.4116,3,essays/122546705y.txt,22,1
119,15.383,3,essays/122546705y.txt,20,1
120,13.6615,3,essays/122546705y.txt,20,2
121,15.7105,3,essays/122546705y.txt,18,1
122,13.4584,3,essays/122546705y.txt,18,2
123,15.4444,3,essays/122546705y.txt,16,1
124,14.7095,3,essays/122546705y.txt,16,2
125,15.8438,3,essays/122546705y.txt,14,1
126,14.7298,3,essays/122546705y.txt,14,2
127,13.0091,3,essays/122546705y.txt,14,3
128,15.8854,3,essays/122546705y.txt,12,1
129,14.4768,3,essays/122546705y.txt,12,2
130,13.441,3,essays/122546705y.txt,12,3
131,16.313,3,essays/122546705y.txt,10,1
132,14.4221,3,essays/122546705y.txt,10,2
133,15.142,3,essays/122546705y.txt,10,3
134,12.1345,3,essays/122546705y.txt,10,4
135,10.1137,4,essays/122546705y.txt,43,1
145,10.253,4,essays/122546705y.txt,40,1
146,10.6278,4,essays/122546705y.txt,35,1
147,11.0922,4,essays/122546705y.txt,30,1
148,10.8779,4,essays/122546705y.txt,28,1
149,11.0027,4,essays/122546705y.txt,26,1
150,10.59,4,essays/122546705y.txt,24,1
151,10.9488,4,essays/122546705y.txt,22,1
152,10.9087,4,essays/122546705y.txt,20,1
153,9.6288,4,essays/122546705y.txt,20,2
154,10.859,4,essays/122546705y.txt,18,1
155,10.0863,4,essays/122546705y.txt,18,2
156,10.7778,4,essays/122546705y.txt,16,1
157,11.2571,4,essays/122546705y.txt,16,2
158,10.8598,4,essays/122546705y.txt,14,1
159,10.9014,4,essays/122546705y.txt,14,2
160,8.8889,4,essays/122546705y.txt,14,3
161,11.2811,4,essays/122546705y.txt,12,1
162,9.9006,4,essays/122546705y.txt,12,2
163,10.1932,4,essays/122546705y.txt,12,3
164,11.4007,4,essays/122546705y.txt,10,1
165,10.4038,4,essays/122546705y.txt,10,2
166,11.4723,4,essays/122546705y.txt,10,3
167,7.5707,4,essays/122546705y.txt,10,4
168,8.6305,5,essays/122546705y.txt,43,1
178,8.7788,5,essays/122546705y.txt,40,1
179,9.1163,5,essays/122546705y.txt,35,1
180,9.5885,5,essays/122546705y.txt,30,1
181,9.3195,5,essays/122546705y.txt,28,1
182,9.3331,5,essays/122546705y.txt,26,1
183,9.1114,5,essays/122546705y.txt,24,1
184,9.3785,5,essays/122546705y.txt,22,1
185,9.3874,5,essays/122546705y.txt,20,1
186,8.2119,5,essays/122546705y.txt,20,2
187,9.4728,5,essays/122546705y.txt,18,1
188,8.4584,5,essays/122546705y.txt,18,2
189,9.4444,5,essays/122546705y.txt,16,1
190,9.3524,5,essays/122546705y.txt,16,2
191,9.3262,5,essays/122546705y.txt,14,1
192,9.3172,5,essays/122546705y.txt,14,2
193,7.5155,5,essays/122546705y.txt,14,3
194,9.6983,5,essays/122546705y.txt,12,1
195,8.5446,5,essays/122546705y.txt,12,2
196,8.6547,5,essays/122546705y.txt,12,3
197,9.6463,5,essays/122546705y.txt,10,1
198,9.1253,5,essays/122546705y.txt,10,2
199,10.0044,5,essays/122546705y.txt,10,3
200,6.2285,5,essays/122546705y.txt,10,4
201,16.1637,3,essays/122752875.txt,34,1
213,15.8334,3,essays/122752875.txt,30,1
214,15.8931,3,essays/122752875.txt,28,1
215,15.892,3,essays/122752875.txt,26,1
216,15.8868,3,essays/122752875.txt,24,1
217,15.8571,3,essays/122752875.txt,22,1
218,15.7471,3,essays/122752875.txt,20,1
219,15.7174,3,essays/122752875.txt,18,1
220,16.3,3,essays/122752875.txt,16,1
221,16.0127,3,essays/122752875.txt,16,2
