,complexity,length_of_chunk,std,variance
0,3,40,0.0,0.0
1,3,35,0.0,0.0
2,3,30,0.0,0.0
3,3,28,0.0,0.0
4,3,26,0.0,0.0
5,3,24,0.0,0.0
6,3,22,0.6405999999999992,0.41036835999999893
7,3,20,1.2706,1.61442436
8,3,18,1.1502,1.32296004
9,3,16,1.1885000000000012,1.4125322500000028
10,3,14,0.7805011509707522,0.609182046666669
11,3,12,1.0110480997460007,1.0222182599999992
12,3,10,2.0493717505311237,4.199924571875002
13,4,40,0.0,0.0
14,4,35,0.0,0.0
15,4,30,0.0,0.0
16,4,28,0.0,0.0
17,4,26,0.0,0.0
18,4,24,0.0,0.0
19,4,22,0.4963999999999995,0.24641295999999951
20,4,20,1.0404000000000009,1.082432160000002
21,4,18,0.9592999999999989,0.920256489999998
22,4,16,1.3368000000000002,1.7870342400000006
23,4,14,1.2325852587143815,1.5192664199999986
24,4,12,1.4045756045471134,1.972832628888889
25,4,10,1.7621670712151558,3.1052327868750003
26,5,40,0.0,0.0
27,5,35,0.0,0.0
28,5,30,0.0,0.0
29,5,28,0.0,0.0
30,5,26,0.0,0.0
31,5,24,0.0,0.0
32,5,22,0.44460000000000033,0.1976691600000003
33,5,20,0.8212999999999999,0.6745336899999999
34,5,18,0.9162999999999997,0.8396056899999994
35,5,16,0.9861999999999993,0.9725904399999986
36,5,14,0.8040477763582624,0.6464928266666663
37,5,12,0.6104516160643333,0.3726511755555562
38,5,10,1.3723679544859682,1.8833938025000005
39,3,40,0.0,0.0
40,3,35,0.0,0.0
41,3,30,0.0,0.0
42,3,28,0.0,0.0
43,3,26,0.0,0.0
44,3,24,0.0,0.0
45,3,22,0.0,0.0
46,3,20,0.8607499999999995,0.7408905624999991
47,3,18,1.1260500000000002,1.2679886025000005
48,3,16,0.36744999999999983,0.1350195024999999
49,3,14,1.166063109593797,1.3597031755555553
50,3,12,1.0017832411366354,1.003569662222222
51,3,10,1.5248572080690048,2.325189505
52,4,40,0.0,0.0
53,4,35,0.0,0.0
54,4,30,0.0,0.0
55,4,28,0.0,0.0
56,4,26,0.0,0.0
57,4,24,0.0,0.0
58,4,22,0.0,0.0
59,4,20,0.6399499999999998,0.4095360024999998
60,4,18,0.3863500000000002,0.14926632250000016
61,4,16,0.23965000000000014,0.05743212250000007
62,4,14,0.9390499702713734,0.8818148466666672
63,4,12,0.5939436393014633,0.3527690466666668
64,4,10,1.582293955583159,2.503654161875
65,5,40,0.0,0.0
66,5,35,0.0,0.0
67,5,30,0.0,0.0
68,5,28,0.0,0.0
69,5,26,0.0,0.0
70,5,24,0.0,0.0
71,5,22,0.0,0.0
72,5,20,0.5877499999999998,0.3454500624999997
73,5,18,0.5072000000000001,0.2572518400000001
74,5,16,0.04600000000000026,0.002116000000000024
75,5,14,0.8514587730608112,0.724982042222222
76,5,12,0.5198553922860554,0.2702496288888885
77,5,10,1.4896040016981023,2.218920081875
78,3,30,0.0,0.0
79,3,28,0.0,0.0
80,3,26,0.0,0.0
81,3,24,0.0,0.0
82,3,22,0.0,0.0
83,3,20,0.0,0.0
84,3,18,0.0,0.0
85,3,16,0.14365000000000094,0.02063532250000027
86,3,14,0.20230000000000015,0.04092529000000006
87,3,12,0.08539999999999903,0.007293159999999835
88,3,10,0.21206615844013285,0.04497205555555553
89,4,30,0.0,0.0
90,4,28,0.0,0.0
91,4,26,0.0,0.0
92,4,24,0.0,0.0
93,4,22,0.0,0.0
94,4,20,0.0,0.0
95,4,18,0.0,0.0
96,4,16,0.43574999999999964,0.1898780624999997
97,4,14,0.32335000000000047,0.1045552225000003
98,4,12,0.0893499999999996,0.007983422499999927
99,4,10,0.28190034882324433,0.07946780666666683
100,5,30,0.0,0.0
101,5,28,0.0,0.0
102,5,26,0.0,0.0
103,5,24,0.0,0.0
104,5,22,0.0,0.0
105,5,20,0.0,0.0
106,5,18,0.0,0.0
107,5,16,0.40969999999999995,0.16785408999999996
108,5,14,0.1253000000000002,0.01570009000000005
109,5,12,0.2734499999999995,0.07477490249999974
110,5,10,0.41064834374708287,0.16863206222222235
111,3,45,0.0,0.0
112,3,40,0.0,0.0
113,3,35,0.0,0.0
114,3,30,0.0,0.0
115,3,28,0.0,0.0
116,3,26,0.0,0.0
117,3,24,0.6651000000000007,0.4423580100000009
118,3,22,0.7820500000000008,0.6116022025000012
119,3,20,0.20564999999999944,0.04229192249999977
120,3,18,0.0815999999999999,0.006658559999999983
121,3,16,0.09847278247764117,0.009696888888888833
122,3,14,0.8417934835153388,0.708616268888889
123,3,12,0.8288125613641477,0.6869302618749991
124,3,10,0.2027353493473696,0.04110162187499999
125,4,45,0.0,0.0
126,4,40,0.0,0.0
127,4,35,0.0,0.0
128,4,30,0.0,0.0
129,4,28,0.0,0.0
130,4,26,0.0,0.0
131,4,24,0.6154000000000002,0.3787171600000002
132,4,22,0.49124999999999996,0.24132656249999995
133,4,20,0.28525000000000045,0.08136756250000027
134,4,18,0.18630000000000013,0.03470769000000005
135,4,16,0.2079034444693549,0.04322384222222214
136,4,14,0.19650266042869605,0.03861329555555543
137,4,12,0.684614988058982,0.46869768187500005
138,4,10,0.5276583571545136,0.2784233418750002
139,5,45,0.0,0.0
140,5,40,0.0,0.0
141,5,35,0.0,0.0
142,5,30,0.0,0.0
143,5,28,0.0,0.0
144,5,26,0.0,0.0
145,5,24,0.7633499999999995,0.5827032224999993
146,5,22,0.7009999999999996,0.4914009999999994
147,5,20,0.018050000000000566,0.0003258025000000204
148,5,18,0.14555000000000007,0.02118480250000002
149,5,16,0.549917490780814,0.30240924666666663
150,5,14,0.5657923902712803,0.32012102888888866
151,5,12,1.0099462395964454,1.0199914068750005
152,5,10,0.48524013900336005,0.23545799250000016
153,3,40,0.0,0.0
154,3,35,0.0,0.0
155,3,30,0.0,0.0
156,3,28,0.0,0.0
157,3,26,0.0,0.0
158,3,24,0.0,0.0
159,3,22,0.0,0.0
160,3,20,0.5183,0.26863488999999996
161,3,18,0.9642499999999998,0.9297780624999997
162,3,16,1.2146,1.4752531599999998
163,3,14,1.0809175495332146,1.1683827488888896
164,3,12,1.0059719490235413,1.011979562222222
165,3,10,1.3861409567121952,1.9213867518749996
166,4,40,0.0,0.0
167,4,35,0.0,0.0
