,GFI,complexity,document,length_of_chunk,number_of_chunk
0,14.3286,3,aff-case/9535696y.txt,14,1
21,15.38,3,aff-case/9535696y.txt,12,1
22,15.2667,3,aff-case/9535696y.txt,10,1
23,12.9286,4,aff-case/9535696y.txt,14,1
44,13.8867,4,aff-case/9535696y.txt,12,1
45,13.8698,4,aff-case/9535696y.txt,10,1
46,11.6286,5,aff-case/9535696y.txt,14,1
67,12.7133,5,aff-case/9535696y.txt,12,1
68,12.727,5,aff-case/9535696y.txt,10,1
69,11.9312,3,aff-case/9514020.txt,18,1
88,12.9421,3,aff-case/9514020.txt,16,1
89,13.7492,3,aff-case/9514020.txt,14,1
90,12.9293,3,aff-case/9514020.txt,12,1
91,12.56,3,aff-case/9514020.txt,10,1
92,9.7265,4,aff-case/9514020.txt,18,1
111,10.7198,4,aff-case/9514020.txt,16,1
112,11.5331,4,aff-case/9514020.txt,14,1
113,11.1605,4,aff-case/9514020.txt,12,1
114,11.12,4,aff-case/9514020.txt,10,1
115,8.7816,5,aff-case/9514020.txt,18,1
134,9.7675,5,aff-case/9514020.txt,16,1
135,10.5359,5,aff-case/9514020.txt,14,1
136,10.0721,5,aff-case/9514020.txt,12,1
137,10.16,5,aff-case/9514020.txt,10,1
138,13.6161,3,aff-case/9534163.txt,19,1
156,13.7398,3,aff-case/9534163.txt,18,1
157,14.2737,3,aff-case/9534163.txt,16,1
158,15.1728,3,aff-case/9534163.txt,14,1
159,15.3822,3,aff-case/9534163.txt,12,1
160,15.3722,3,aff-case/9534163.txt,10,1
161,10.4045,4,aff-case/9534163.txt,19,1
179,10.4993,4,aff-case/9534163.txt,18,1
180,10.7709,4,aff-case/9534163.txt,16,1
181,11.3338,4,aff-case/9534163.txt,14,1
182,11.2977,4,aff-case/9534163.txt,12,1
183,10.7959,4,aff-case/9534163.txt,10,1
184,9.0419,5,aff-case/9534163.txt,19,1
202,9.1828,5,aff-case/9534163.txt,18,1
203,9.302,5,aff-case/9534163.txt,16,1
204,9.7239,5,aff-case/9534163.txt,14,1
205,9.7484,5,aff-case/9534163.txt,12,1
206,9.6095,5,aff-case/9534163.txt,10,1
207,17.4728,3,aff-case/9534039.txt,14,1
228,17.1946,3,aff-case/9534039.txt,12,1
229,16.3059,3,aff-case/9534039.txt,10,1
230,15.8028,4,aff-case/9534039.txt,14,1
251,15.3937,4,aff-case/9534039.txt,12,1
252,14.6588,4,aff-case/9534039.txt,10,1
253,14.769,5,aff-case/9534039.txt,14,1
274,14.351,5,aff-case/9534039.txt,12,1
275,13.9529,5,aff-case/9534039.txt,10,1
276,16.6764,3,aff-case/9535872.txt,9,1
299,14.3476,4,aff-case/9535872.txt,9,1
322,13.2518,5,aff-case/9535872.txt,9,1
345,13.4824,3,aff-case/9536689.txt,17,1
