,complexity,length_of_chunk,std,variance
0,3,14,0.0,0.0
1,3,12,0.0,0.0
2,3,10,0.0,0.0
3,4,14,0.0,0.0
4,4,12,0.0,0.0
5,4,10,0.0,0.0
6,5,14,0.0,0.0
7,5,12,0.0,0.0
8,5,10,0.0,0.0
9,3,18,0.0,0.0
10,3,16,0.0,0.0
11,3,14,0.0,0.0
12,3,12,0.0,0.0
13,3,10,0.0,0.0
14,4,18,0.0,0.0
15,4,16,0.0,0.0
16,4,14,0.0,0.0
17,4,12,0.0,0.0
18,4,10,0.0,0.0
19,5,18,0.0,0.0
20,5,16,0.0,0.0
21,5,14,0.0,0.0
22,5,12,0.0,0.0
23,5,10,0.0,0.0
24,3,18,0.0,0.0
25,3,16,0.0,0.0
26,3,14,0.0,0.0
27,3,12,0.0,0.0
28,3,10,0.0,0.0
29,4,18,0.0,0.0
30,4,16,0.0,0.0
31,4,14,0.0,0.0
32,4,12,0.0,0.0
33,4,10,0.0,0.0
34,5,18,0.0,0.0
35,5,16,0.0,0.0
36,5,14,0.0,0.0
37,5,12,0.0,0.0
38,5,10,0.0,0.0
39,3,14,0.0,0.0
40,3,12,0.0,0.0
41,3,10,0.0,0.0
42,4,14,0.0,0.0
43,4,12,0.0,0.0
44,4,10,0.0,0.0
45,5,14,0.0,0.0
46,5,12,0.0,0.0
47,5,10,0.0,0.0
48,3,16,0.0,0.0
49,3,14,0.0,0.0
50,3,12,0.0,0.0
51,3,10,0.0,0.0
52,4,16,0.0,0.0
53,4,14,0.0,0.0
54,4,12,0.0,0.0
55,4,10,0.0,0.0
56,5,16,0.0,0.0
57,5,14,0.0,0.0
58,5,12,0.0,0.0
59,5,10,0.0,0.0
60,3,10,0.0,0.0
61,4,10,0.0,0.0
62,5,10,0.0,0.0
63,3,10,0.0,0.0
64,4,10,0.0,0.0
65,5,10,0.0,0.0
66,3,14,0.0,0.0
67,3,12,0.0,0.0
68,3,10,0.0,0.0
69,4,14,0.0,0.0
70,4,12,0.0,0.0
71,4,10,0.0,0.0
72,5,14,0.0,0.0
73,5,12,0.0,0.0
74,5,10,0.0,0.0
75,3,14,0.0,0.0
76,3,12,0.0,0.0
77,3,10,0.0,0.0
78,4,14,0.0,0.0
79,4,12,0.0,0.0
80,4,10,0.0,0.0
81,5,14,0.0,0.0
82,5,12,0.0,0.0
83,5,10,0.0,0.0
84,3,14,0.0,0.0
85,3,12,0.0,0.0
86,3,10,0.0,0.0
87,4,14,0.0,0.0
88,4,12,0.0,0.0
89,4,10,0.0,0.0
90,5,14,0.0,0.0
91,5,12,0.0,0.0
92,5,10,0.0,0.0
93,3,18,0.0,0.0
94,3,16,0.0,0.0
95,3,14,0.0,0.0
96,3,12,0.0,0.0
97,3,10,0.0,0.0
98,4,18,0.0,0.0
99,4,16,0.0,0.0
100,4,14,0.0,0.0
101,4,12,0.0,0.0
102,4,10,0.0,0.0
103,5,18,0.0,0.0
104,5,16,0.0,0.0
105,5,14,0.0,0.0
106,5,12,0.0,0.0
107,5,10,0.0,0.0
108,3,16,0.0,0.0
109,3,14,0.0,0.0
110,3,12,0.0,0.0
111,3,10,0.0,0.0
112,4,16,0.0,0.0
113,4,14,0.0,0.0
114,4,12,0.0,0.0
115,4,10,0.0,0.0
116,5,16,0.0,0.0
117,5,14,0.0,0.0
118,5,12,0.0,0.0
119,5,10,0.0,0.0
120,3,20,0.0,0.0
121,3,18,0.0,0.0
122,3,16,0.0,0.0
123,3,14,0.0,0.0
124,3,12,0.0,0.0
125,3,10,1.4760999999999997,2.178871209999999
126,4,20,0.0,0.0
127,4,18,0.0,0.0
128,4,16,0.0,0.0
129,4,14,0.0,0.0
130,4,12,0.0,0.0
131,4,10,1.2455500000000006,1.5513948025000015
132,5,20,0.0,0.0
133,5,18,0.0,0.0
134,5,16,0.0,0.0
135,5,14,0.0,0.0
136,5,12,0.0,0.0
137,5,10,1.2681,1.60807761
138,3,18,0.0,0.0
139,3,16,0.0,0.0
140,3,14,0.0,0.0
141,3,12,0.0,0.0
142,3,10,0.0,0.0
143,4,18,0.0,0.0
144,4,16,0.0,0.0
145,4,14,0.0,0.0
146,4,12,0.0,0.0
147,4,10,0.0,0.0
148,5,18,0.0,0.0
149,5,16,0.0,0.0
150,5,14,0.0,0.0
151,5,12,0.0,0.0
152,5,10,0.0,0.0
153,3,16,0.0,0.0
154,3,14,0.0,0.0
155,3,12,0.0,0.0
156,3,10,0.0,0.0
157,4,16,0.0,0.0
158,4,14,0.0,0.0
159,4,12,0.0,0.0
160,4,10,0.0,0.0
161,5,16,0.0,0.0
162,5,14,0.0,0.0
163,5,12,0.0,0.0
164,5,10,0.0,0.0
165,3,14,0.0,0.0
166,3,12,0.0,0.0
167,3,10,0.0,0.0
168,4,14,0.0,0.0
169,4,12,0.0,0.0
170,4,10,0.0,0.0
171,5,14,0.0,0.0
172,5,12,0.0,0.0
173,5,10,0.0,0.0
174,3,12,0.0,0.0
175,3,10,0.0,0.0
176,4,12,0.0,0.0
177,4,10,0.0,0.0
178,5,12,0.0,0.0
179,5,10,0.0,0.0
180,3,16,0.0,0.0
181,3,14,0.0,0.0
182,3,12,0.0,0.0
183,3,10,0.0,0.0
184,4,16,0.0,0.0
185,4,14,0.0,0.0
186,4,12,0.0,0.0
187,4,10,0.0,0.0
188,5,16,0.0,0.0
189,5,14,0.0,0.0
190,5,12,0.0,0.0
191,5,10,0.0,0.0
192,3,24,0.0,0.0
193,3,22,0.0,0.0
194,3,20,0.0,0.0
195,3,18,0.0,0.0
196,3,16,0.0,0.0
197,3,14,0.0,0.0
198,3,12,0.18759999999999977,0.035193759999999914
199,3,10,0.9041000000000006,0.8173968100000011
200,4,24,0.0,0.0
201,4,22,0.0,0.0
202,4,20,0.0,0.0
203,4,18,0.0,0.0
204,4,16,0.0,0.0
205,4,14,0.0,0.0
206,4,12,0.7687999999999997,0.5910534399999996
207,4,10,1.8337500000000002,3.362639062500001
208,5,24,0.0,0.0
209,5,22,0.0,0.0
210,5,20,0.0,0.0
211,5,18,0.0,0.0
212,5,16,0.0,0.0
213,5,14,0.0,0.0
214,5,12,0.6364500000000004,0.40506860250000054
215,5,10,1.79575,3.2247180625
216,3,14,0.0,0.0
217,3,12,0.0,0.0
218,3,10,0.0,0.0
219,4,14,0.0,0.0
220,4,12,0.0,0.0
221,4,10,0.0,0.0
222,5,14,0.0,0.0
223,5,12,0.0,0.0
224,5,10,0.0,0.0
225,3,16,0.0,0.0
226,3,14,0.0,0.0
227,3,12,0.0,0.0
228,3,10,0.0,0.0
229,4,16,0.0,0.0
230,4,14,0.0,0.0
231,4,12,0.0,0.0
232,4,10,0.0,0.0
233,5,16,0.0,0.0
234,5,14,0.0,0.0
235,5,12,0.0,0.0
236,5,10,0.0,0.0
237,3,22,0.0,0.0
238,3,20,0.0,0.0
239,3,18,0.0,0.0
240,3,16,0.0,0.0
241,3,14,0.0,0.0
242,3,12,0.0,0.0
243,3,10,1.02475,1.0501125625
244,4,22,0.0,0.0
245,4,20,0.0,0.0
246,4,18,0.0,0.0
247,4,16,0.0,0.0
248,4,14,0.0,0.0
