,GFI,complexity,document,length_of_chunk,number_of_chunk
0,16.1231,3,mission-command/9487780y.txt,49,1
9,16.2263,3,mission-command/9487780y.txt,45,1
10,16.5088,3,mission-command/9487780y.txt,40,1
11,16.6211,3,mission-command/9487780y.txt,35,1
12,16.9329,3,mission-command/9487780y.txt,30,1
13,17.0693,3,mission-command/9487780y.txt,28,1
14,16.4367,3,mission-command/9487780y.txt,26,1
15,16.7894,3,mission-command/9487780y.txt,24,1
16,15.4834,3,mission-command/9487780y.txt,24,2
17,16.2014,3,mission-command/9487780y.txt,22,1
18,16.5182,3,mission-command/9487780y.txt,22,2
19,16.4455,3,mission-command/9487780y.txt,20,1
20,16.633,3,mission-command/9487780y.txt,20,2
21,16.6593,3,mission-command/9487780y.txt,18,1
22,16.8219,3,mission-command/9487780y.txt,18,2
23,16.6259,3,mission-command/9487780y.txt,16,1
24,17.0841,3,mission-command/9487780y.txt,16,2
25,14.6481,3,mission-command/9487780y.txt,16,3
26,16.4849,3,mission-command/9487780y.txt,14,1
27,17.6505,3,mission-command/9487780y.txt,14,2
28,15.1116,3,mission-command/9487780y.txt,14,3
29,16.7725,3,mission-command/9487780y.txt,12,1
30,16.8306,3,mission-command/9487780y.txt,12,2
31,16.6723,3,mission-command/9487780y.txt,12,3
32,14.2438,3,mission-command/9487780y.txt,12,4
33,17.1554,3,mission-command/9487780y.txt,10,1
34,15.7112,3,mission-command/9487780y.txt,10,2
35,17.9388,3,mission-command/9487780y.txt,10,3
36,15.2244,3,mission-command/9487780y.txt,10,4
37,12.3642,4,mission-command/9487780y.txt,49,1
46,12.4512,4,mission-command/9487780y.txt,45,1
47,12.5556,4,mission-command/9487780y.txt,40,1
48,12.674,4,mission-command/9487780y.txt,35,1
49,13.0199,4,mission-command/9487780y.txt,30,1
50,13.1612,4,mission-command/9487780y.txt,28,1
51,12.7084,4,mission-command/9487780y.txt,26,1
52,12.9767,4,mission-command/9487780y.txt,24,1
53,11.8043,4,mission-command/9487780y.txt,24,2
54,12.5114,4,mission-command/9487780y.txt,22,1
55,12.6472,4,mission-command/9487780y.txt,22,2
56,12.5667,4,mission-command/9487780y.txt,20,1
57,12.5971,4,mission-command/9487780y.txt,20,2
58,12.8286,4,mission-command/9487780y.txt,18,1
59,12.637,4,mission-command/9487780y.txt,18,2
60,12.9534,4,mission-command/9487780y.txt,16,1
61,12.9896,4,mission-command/9487780y.txt,16,2
62,11.2019,4,mission-command/9487780y.txt,16,3
63,12.5656,4,mission-command/9487780y.txt,14,1
64,13.7537,4,mission-command/9487780y.txt,14,2
65,11.5236,4,mission-command/9487780y.txt,14,3
66,13.0184,4,mission-command/9487780y.txt,12,1
67,12.9551,4,mission-command/9487780y.txt,12,2
68,12.2448,4,mission-command/9487780y.txt,12,3
69,11.3522,4,mission-command/9487780y.txt,12,4
70,13.1399,4,mission-command/9487780y.txt,10,1
71,11.9824,4,mission-command/9487780y.txt,10,2
72,13.9554,4,mission-command/9487780y.txt,10,3
73,11.1268,4,mission-command/9487780y.txt,10,4
74,9.811,5,mission-command/9487780y.txt,49,1
83,9.9727,5,mission-command/9487780y.txt,45,1
84,9.9626,5,mission-command/9487780y.txt,40,1
85,10.0748,5,mission-command/9487780y.txt,35,1
86,10.4112,5,mission-command/9487780y.txt,30,1
87,10.575,5,mission-command/9487780y.txt,28,1
88,10.3072,5,mission-command/9487780y.txt,26,1
89,10.5687,5,mission-command/9487780y.txt,24,1
90,9.1429,5,mission-command/9487780y.txt,24,2
91,10.445,5,mission-command/9487780y.txt,22,1
92,9.744,5,mission-command/9487780y.txt,22,2
93,10.5465,5,mission-command/9487780y.txt,20,1
94,9.3684,5,mission-command/9487780y.txt,20,2
95,10.6905,5,mission-command/9487780y.txt,18,1
96,9.5226,5,mission-command/9487780y.txt,18,2
97,10.7698,5,mission-command/9487780y.txt,16,1
98,9.9449,5,mission-command/9487780y.txt,16,2
99,8.8635,5,mission-command/9487780y.txt,16,3
100,10.6059,5,mission-command/9487780y.txt,14,1
101,10.5445,5,mission-command/9487780y.txt,14,2
102,9.1316,5,mission-command/9487780y.txt,14,3
103,11.0767,5,mission-command/9487780y.txt,12,1
104,10.0486,5,mission-command/9487780y.txt,12,2
105,9.1913,5,mission-command/9487780y.txt,12,3
106,9.1032,5,mission-command/9487780y.txt,12,4
107,10.9778,5,mission-command/9487780y.txt,10,1
108,10.118,5,mission-command/9487780y.txt,10,2
109,10.1379,5,mission-command/9487780y.txt,10,3
110,8.5902,5,mission-command/9487780y.txt,10,4
111,17.0754,3,mission-command/9461991z.txt,68,1
118,17.3235,3,mission-command/9461991z.txt,60,1
119,17.5237,3,mission-command/9461991z.txt,50,1
120,17.2118,3,mission-command/9461991z.txt,45,1
121,16.8574,3,mission-command/9461991z.txt,40,1
122,17.4767,3,mission-command/9461991z.txt,35,1
123,17.8497,3,mission-command/9461991z.txt,30,1
124,16.7846,3,mission-command/9461991z.txt,30,2
125,17.9496,3,mission-command/9461991z.txt,28,1
126,16.732,3,mission-command/9461991z.txt,28,2
127,17.8074,3,mission-command/9461991z.txt,26,1
128,17.0063,3,mission-command/9461991z.txt,26,2
129,17.7619,3,mission-command/9461991z.txt,24,1
130,17.2366,3,mission-command/9461991z.txt,24,2
131,17.7318,3,mission-command/9461991z.txt,22,1
132,16.1749,3,mission-command/9461991z.txt,22,2
133,18.0872,3,mission-command/9461991z.txt,22,3
134,18.0794,3,mission-command/9461991z.txt,20,1
135,15.6545,3,mission-command/9461991z.txt,20,2
136,18.2265,3,mission-command/9461991z.txt,20,3
137,18.4068,3,mission-command/9461991z.txt,18,1
138,16.6934,3,mission-command/9461991z.txt,18,2
