,complexity,length_of_chunk,std,variance
0,3,45,0.0,0.0
1,3,40,0.0,0.0
2,3,35,0.0,0.0
3,3,30,0.0,0.0
4,3,28,0.0,0.0
5,3,26,0.0,0.0
6,3,24,0.6530000000000005,0.4264090000000006
7,3,22,0.15840000000000032,0.025090560000000102
8,3,20,0.09375,0.0087890625
9,3,18,0.08129999999999882,0.006609689999999808
10,3,16,1.0570260209138134,1.1173040088888895
11,3,14,1.037657054243946,1.0767321622222237
12,3,12,1.0903538622850841,1.1888715450000003
13,3,10,1.089590908322936,1.187208347500001
14,4,45,0.0,0.0
15,4,40,0.0,0.0
16,4,35,0.0,0.0
17,4,30,0.0,0.0
18,4,28,0.0,0.0
19,4,26,0.0,0.0
20,4,24,0.5861999999999998,0.3436304399999998
21,4,22,0.06789999999999985,0.00461040999999998
22,4,20,0.015199999999999214,0.0002310399999999761
23,4,18,0.09579999999999966,0.009177639999999935
24,4,16,0.8343283379794524,0.6961037755555552
25,4,14,0.9110855320257626,0.8300768466666669
26,4,12,0.6731101112559519,0.453077221875
27,4,10,1.080601002625391,1.167698526875
28,5,45,0.0,0.0
29,5,40,0.0,0.0
30,5,35,0.0,0.0
31,5,30,0.0,0.0
32,5,28,0.0,0.0
33,5,26,0.0,0.0
34,5,24,0.7129000000000003,0.5082264100000005
35,5,22,0.35050000000000026,0.12285025000000017
36,5,20,0.5890500000000003,0.3469799025000003
37,5,18,0.5839499999999997,0.3409976024999997
38,5,16,0.780588500214208,0.6093184066666666
39,5,14,0.6809810619001574,0.46373520666666607
40,5,12,0.7961992165909237,0.6339331925000007
41,5,10,0.8615126939720624,0.7422041218750005
42,3,60,0.0,0.0
43,3,50,0.0,0.0
44,3,45,0.0,0.0
45,3,40,0.0,0.0
46,3,35,0.0,0.0
47,3,30,0.5325499999999987,0.28360950249999867
48,3,28,0.6088000000000005,0.37063744000000054
49,3,26,0.40055000000000085,0.1604403025000007
50,3,24,0.2626500000000007,0.06898502250000038
51,3,22,0.8304709547399388,0.6896820066666655
52,3,20,1.179310647040135,1.3907736022222223
53,3,18,0.71379536905817,0.509503828888889
54,3,16,0.6473344551891248,0.419041896875001
55,3,14,1.3072375326905965,1.7088699668749985
56,3,12,0.3997647938475823,0.15981189039999996
57,3,10,2.0584700219796472,4.237298831388889
58,4,60,0.0,0.0
59,4,50,0.0,0.0
60,4,45,0.0,0.0
61,4,40,0.0,0.0
62,4,35,0.0,0.0
63,4,30,0.28219999999999956,0.07963683999999975
64,4,28,0.20289999999999964,0.04116840999999985
65,4,26,0.06390000000000029,0.004083210000000037
66,4,24,0.24770000000000003,0.061355290000000014
67,4,22,0.1754245200142281,0.03077376222222231
68,4,20,0.1851808545419552,0.03429194888888878
69,4,18,0.27106958516218665,0.07347871999999996
70,4,16,0.49690580281880375,0.24691537687499987
71,4,14,0.6202757667965116,0.3847420268750005
72,4,12,0.8074860182071263,0.6520336695999994
73,4,10,1.0382929285878604,1.078052205555556
74,5,60,0.0,0.0
75,5,50,0.0,0.0
76,5,45,0.0,0.0
77,5,40,0.0,0.0
78,5,35,0.0,0.0
79,5,30,0.15315000000000012,0.023454922500000037
80,5,28,0.10219999999999985,0.01044483999999997
81,5,26,0.10154999999999959,0.010312402499999916
82,5,24,0.46199999999999974,0.21344399999999977
83,5,22,0.49405466858998065,0.24409001555555562
84,5,20,0.313097727022517,0.09803018666666656
85,5,18,0.07493260675804354,0.005614895555555593
86,5,16,0.21341865399959786,0.04554752187500007
87,5,14,0.1921890654407787,0.03693663687499992
88,5,12,0.6022523856324686,0.3627079359999997
89,5,10,1.1400419048097408,1.2996955447222223
90,3,50,0.0,0.0
91,3,45,0.0,0.0
92,3,40,0.0,0.0
